id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
F013,Connectors,Explicit allow-list,"As an operator, I want the allow-list written out even when everything is on, so that a provider adding a tool later cannot silently widen a live agent.","allowed_tools is always emitted explicitly and shown to the user. Omission would mean 'all tools', including future ones.",docs/rfc-voice-agent-builder.md#2.2,retested-pass,audit.mjs C11/C11b,pass — array updates live and agrees with the switch,logic,"Both the generic .switch handler and the OAuth handler bound the same elements, so the toggle fired twice: the switch returned to off while the emitted array kept the tool. The security boundary and its control disagreed.",Scoped the generic binding to .switch:not(.oauth-tool); added C11b asserting switch state and allow-list agree.,docs/voice-builder-studio-mockup.html,pass
F014,Connectors,Destructive tools,"As an operator, I want irreversible tools marked, so that I do not enable deletion while skimming a list of five toggles.","Destructive tools carry an explicit chip distinct from the accent, in both the workspace connector and the OAuth step.",docs/rfc-voice-agent-builder-ui.md#5.4,retested-pass,audit.mjs C12,pass,none,,,docs/voice-builder-studio-mockup.html,pass
F015,Connectors,Expired authorization,"As an operator, I want a dead connector to reach me before a customer does, so that I am not silently failing calls for hours.","Expiry surfaces in three places: a dashboard exception with caller impact, a nav badge, and a marked card. The connectors page states that tools have been failing mid-call — the consequence, not the status code.",docs/rfc-voice-agent-builder-ui.md#8,retested-pass,audit.mjs C02/C03/C04,pass,ux:proxy-is-not-the-person,"First pass had expiry only as a red badge on the connectors page — a page nobody visits until something is already wrong. A refresh token dying is a live production incident, not a settings detail.",Promoted expiry to a dashboard exception with caller impact plus a nav badge.,docs/voice-builder-studio-mockup.html,pass
F016,Connectors,Hand-off state,"As someone who just clicked through to Google, I want the app to show it is waiting, so that I do not think it hung.","A distinct waiting step with a live status, a way to re-open the provider window, and a manual 'I've approved it' path for when the callback is missed.",docs/rfc-voice-agent-builder-ui.md#8,retested-pass,audit.mjs C07/C08,pass,none,,,docs/voice-builder-studio-mockup.html,pass
F017,Connectors,Escape hatches,"As a developer whose system is not in the catalogue, I want a custom route, so that an unlisted provider does not block me.","Custom MCP server and custom HTTP tool are offered at the top of the catalogue, not buried after eleven logos.",docs/rfc-voice-agent-builder.md#R3,tested,manual read-through,pass,none,,,docs/voice-builder-studio-mockup.html,
F018,Navigation,Workspace vs agent scope,"As a user, I want workspace-level objects separated from agent-level ones, so that I learn the right mental model of what is shared.","A persistent workspace rail (Home, Agents, Connectors, Voices, Knowledge, Usage) sits outside the agent tab strip. Shared objects are referenced by agents, never nested inside one.",docs/rfc-voice-agent-builder-ui.md#2,retested-pass,audit.mjs D03/R01/R05,pass,ux:match-what-they-already-know,"The first mockup had no workspace navigation at all — only an agent tab strip. It taught that connectors and voices live inside an agent, which is the opposite of the IA in the spec and would force re-uploading the same collection per agent.",Added the workspace rail and made the agent chrome context-dependent.,docs/voice-builder-studio-mockup.html,pass
F019,Navigation,Undesigned destinations,"As a reviewer, I want nav entries with no screen yet to say so, so that I do not read a dead button as a broken product.","Voices, Knowledge and Usage open a panel naming why they are in the nav and when the screen lands. No nav item is inert.",docs/rfc-voice-agent-builder-ui.md#3,retested-pass,audit.mjs R05,pass,ux:hidden-affordance,Nav items initially did nothing when clicked — indistinguishable from a bug.,Added a shared stub screen that names the object and its phase.,docs/voice-builder-studio-mockup.html,pass
F020,Cross-cutting,Hidden-state correctness,"As any user, I want screens to actually hide when navigating, so that I never see two screens stacked.","Toggling the hidden attribute reliably hides an element regardless of its class-level display rule.",docs/voice-builder-studio-mockup.html,retested-pass,audit.mjs D03/R05 + mutation test,pass — mutant with the fix removed fails both,logic,"Class rules such as .tabs{display:flex} out-specify the UA [hidden] rule, so setting .hidden in JS silently did nothing and the agent tab strip stayed visible on workspace screens.",Added a global [hidden]{display:none !important} with a comment naming the cascade collision.,docs/voice-builder-studio-mockup.html,pass
F021,Cross-cutting,Responsive integrity,"As a user on a narrow window, I want no sideways scrolling of the page, so that content is not lost off-screen.","Body never scrolls horizontally at 1440 or 390. Wide content scrolls inside its own container. The workspace rail becomes a horizontal strip below 820.",docs/rfc-voice-agent-builder-ui.md#8,retested-pass,audit.mjs L01/L02/L03,pass at both widths,none,,,docs/voice-builder-studio-mockup.html,pass
F022,Cross-cutting,Theme parity,"As a user in dark mode, I want the same care as light mode, so that the product does not feel half-built at night.","Tokens redefine under prefers-color-scheme and both data-theme overrides. Canvas graphics re-render on theme change rather than keeping stale colours.",docs/rfc-voice-agent-builder-ui.md#8,retested-pass,audit.mjs T01/T02,pass — canvases redraw,none,,,docs/voice-builder-studio-mockup.html,pass
F023,Build/Instructions,Default prompt sections,"As a builder, I want the seeded sections to match how people actually write voice prompts, so that I am editing a sensible shape rather than inventing one.","Five sections seeded: Identity, Voice & persona, Language, Task flow, Hard rules. Chosen because two independent observed builders converged on that structure; the earlier Greeting/Resolve/Wrap-up default covered only the task flow.",docs/rfc-voice-agent-builder-ui.md#1a.1,retested-pass,audit.mjs P01,pass — exact section list matched,ux:find-the-job,"Original defaults described only what the agent does, omitting persona, speech style and rules — three of the four things people actually write. Defaults are the highest-leverage control in an authoring UI.",Reseeded the five convergent sections.,docs/voice-builder-studio-mockup.html,pass
F024,Build/Instructions,Bound tool references,"As a builder, I want a tool mentioned in the prompt to stay correct when I rename the tool, so that my agent does not silently stop calling it mid-call.","Tool mentions render as references bound to the tool, not retyped strings. Renaming rewrites every mention; a dangling reference is listed with its section and blocks publish.",docs/rfc-voice-agent-builder-ui.md#1a.2,retested-pass,audit.mjs P02/P03,"pass — 2 bound refs, 1 broken ref surfaced",ux:cut-the-load,"Observed product requires the user to retype the tool name into the prompt and keep both in sync by hand — stated twice while building. A rename produces a silent production failure with no error anywhere.",Added bound reference tokens plus a tool-reference validation panel.,docs/voice-builder-studio-mockup.html,pass
F025,Build/Instructions,Broken reference visibility,"As a builder, I want a broken tool reference to reach me before I publish, so that I do not ship an agent that cannot call its own tools.","A dangling reference raises the Instructions section to the warning state in the config rail, so it is visible without opening the section.",docs/rfc-voice-agent-builder-ui.md#1a.2,retested-pass,audit.mjs P04,pass — rail state is state-warn,none,,,docs/voice-builder-studio-mockup.html,pass
F026,Build/Tools,Built-in tool latency cost,"As a builder, I want to know when an option makes every call slower, so that I do not trade my latency budget away without noticing.","Web search image reading states that it adds latency, at the point of the toggle rather than in documentation.",docs/rfc-voice-agent-builder-ui.md#1a,tested,manual read-through,pass,none,,,docs/voice-builder-studio-mockup.html,
